Folder Path,Layer File,Layer Name,Layer Type,Data Source,Symbology Type,Colors Used (first 10),Uses Multiple Colors,Color Notes,Line Widths,Transparency,Estimated Contrast Issues,Labels Enabled,Font Name,Font Size,Font Bold,Font Color,Halo Enabled,Halo Color,Halo Size,Label Issues,Popup Enabled,Popup Fields Count,Popup Fields (sample),Min Scale,Max Scale,Extraction Notes
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Ag Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Forestry Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Hydro Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Hydro Lines,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Lines2020,SimpleRenderer,#a553b7,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Hydro  Polygons,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Polygons2020,SimpleRenderer,#4c81cd,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",P & D Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",P& D Lines,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Lines2020,SimpleRenderer,#a553b7,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Ranger Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Ranger Polygons,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Polygons2020,SimpleRenderer,#4c81cd,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Trails Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Trails Lines,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Lines2020,SimpleRenderer,#a553b7,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Veg Mgmt Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Veg Mgmt Lines,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Lines2020,SimpleRenderer,#a553b7,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Veg Mgmt Polys,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Polygons2020,SimpleRenderer,#4c81cd,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Ag Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2021,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Ag Polygons,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Polygons2021,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Forestry Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2021,SimpleRenderer,#55ff00,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Hydro Lines,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Lines2021,SimpleRenderer,#005ce6,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",P & D Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2021,SimpleRenderer,#d1ff73,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Restoration Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2021,SimpleRenderer,#732600,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Restoration Polygons,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Polygons2021,SimpleRenderer,#732600,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Science Office Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2021,SimpleRenderer,#e6e600,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Trails Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2021,SimpleRenderer,#730000,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Trails Lines,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Lines2021,SimpleRenderer,#730000,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Polygons Trails,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Polygons2021,SimpleRenderer,#730000,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Veg Mgmt Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2021,SimpleRenderer,#c500ff,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Veg Mgmt Lines,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Lines2021,SimpleRenderer,#c500ff,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Veg Mgmt Polygons,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Polygons2021,SimpleRenderer,#c500ff,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2021.lyr",Wildlife Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2021,SimpleRenderer,#0084a8,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2022.lyr",Ag Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2022,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
Root,"OSMP Generic Features gathered in Collector, 2022.lyr",Ag Lines,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Lines2022,SimpleRenderer,#fa3411,No,,,,,No,,,No,,No,,,,Yes,0,,,,Popup config not found in layer file - check in map document
